Date,Visitor/Neutral,Home/Neutral
Tue Apr 7 2020,Detroit Pistons,Atlanta Hawks
Tue Apr 7 2020,Indiana Pacers,Miami Heat
Tue Apr 7 2020,Milwaukee Bucks,Philadelphia 76ers
Tue Apr 7 2020,Phoenix Suns,Minnesota Timberwolves
Tue Apr 7 2020,Charlotte Hornets,New Orleans Pelicans
Tue Apr 7 2020,Brooklyn Nets,Oklahoma City Thunder
Tue Apr 7 2020,Houston Rockets,Dallas Mavericks
Tue Apr 7 2020,Sacramento Kings,San Antonio Spurs
Tue Apr 7 2020,Memphis Grizzlies,Denver Nuggets
Tue Apr 7 2020,Cleveland Cavaliers,Portland Trail Blazers
Tue Apr 7 2020,Los Angeles Clippers,Utah Jazz
Tue Apr 7 2020,Chicago Bulls,Los Angeles Lakers
Wed Apr 8 2020,Indiana Pacers,Boston Celtics
Wed Apr 8 2020,Toronto Raptors,Charlotte Hornets
Wed Apr 8 2020,Orlando Magic,New York Knicks
Wed Apr 8 2020,San Antonio Spurs,Houston Rockets
Wed Apr 8 2020,Cleveland Cavaliers,Golden State Warriors
Wed Apr 8 2020,Chicago Bulls,Los Angeles Clippers
Thu Apr 9 2020,Detroit Pistons,Miami Heat
Thu Apr 9 2020,Brooklyn Nets,Milwaukee Bucks
Thu Apr 9 2020,Sacramento Kings,Minnesota Timberwolves
Thu Apr 9 2020,Phoenix Suns,New Orleans Pelicans
Thu Apr 9 2020,Denver Nuggets,Portland Trail Blazers
Thu Apr 9 2020,Golden State Warriors,Los Angeles Lakers
Fri Apr 10 2020,Boston Celtics,Orlando Magic
Fri Apr 10 2020,Atlanta Hawks,Toronto Raptors
Fri Apr 10 2020,Washington Wizards,Houston Rockets
Fri Apr 10 2020,New York Knicks,Oklahoma City Thunder
Fri Apr 10 2020,Philadelphia 76ers,San Antonio Spurs
Sat Apr 11 2020,Detroit Pistons,Dallas Mavericks
Sat Apr 11 2020,Washington Wizards,Charlotte Hornets
Sat Apr 11 2020,Orlando Magic,Indiana Pacers
Sat Apr 11 2020,Philadelphia 76ers,New Orleans Pelicans
Sat Apr 11 2020,Milwaukee Bucks,Cleveland Cavaliers
Sat Apr 11 2020,Brooklyn Nets,Chicago Bulls
Sat Apr 11 2020,Oklahoma City Thunder,Memphis Grizzlies
Sat Apr 11 2020,Boston Celtics,Miami Heat
Sat Apr 11 2020,Golden State Warriors,Los Angeles Clippers
Sat Apr 11 2020,Sacramento Kings,Denver Nuggets
Sat Apr 11 2020,Utah Jazz,Phoenix Suns
Sun Apr 12 2020,Houston Rockets,San Antonio Spurs
Sun Apr 12 2020,New York Knicks,Toronto Raptors
Sun Apr 12 2020,Atlanta Hawks,Milwaukee Bucks
Sun Apr 12 2020,Minnesota Timberwolves,Los Angeles Lakers
Mon Apr 13 2020,Miami Heat,Charlotte Hornets
Mon Apr 13 2020,Brooklyn Nets,Cleveland Cavaliers
Mon Apr 13 2020,Boston Celtics,Detroit Pistons
Mon Apr 13 2020,San Antonio Spurs,Indiana Pacers
Mon Apr 13 2020,Orlando Magic,Chicago Bulls
Mon Apr 13 2020,Phoenix Suns,Houston Rockets
Mon Apr 13 2020,Philadelphia 76ers,Memphis Grizzlies
Mon Apr 13 2020,Washington Wizards,New Orleans Pelicans
Mon Apr 13 2020,Utah Jazz,Oklahoma City Thunder
Mon Apr 13 2020,Dallas Mavericks,Denver Nuggets
Mon Apr 13 2020,Portland Trail Blazers,Golden State Warriors
Mon Apr 13 2020,Minnesota Timberwolves,Los Angeles Clippers
Tue Apr 14 2020,Toronto Raptors,Miami Heat
Tue Apr 14 2020,Detroit Pistons,New York Knicks
Tue Apr 14 2020,Denver Nuggets,Utah Jazz
Tue Apr 14 2020,Sacramento Kings,Los Angeles Lakers
Wed Apr 15 2020,Cleveland Cavaliers,Atlanta Hawks
Wed Apr 15 2020,Chicago Bulls,Boston Celtics
Wed Apr 15 2020,Milwaukee Bucks,Brooklyn Nets
Wed Apr 15 2020,Oklahoma City Thunder,Dallas Mavericks
Wed Apr 15 2020,Memphis Grizzlies,Houston Rockets
Wed Apr 15 2020,New York Knicks,Minnesota Timberwolves
Wed Apr 15 2020,Toronto Raptors,Orlando Magic
Wed Apr 15 2020,Charlotte Hornets,Philadelphia 76ers
Wed Apr 15 2020,New Orleans Pelicans,San Antonio Spurs
Wed Apr 15 2020,Indiana Pacers,Washington Wizards
Wed Apr 15 2020,Los Angeles Lakers,Phoenix Suns
Wed Apr 15 2020,Los Angeles Clippers,Portland Trail Blazers
Wed Apr 15 2020,Golden State Warriors,Sacramento Kings
